#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
3.84421363788e+29,0.0,17230.0670273,27374.5333759,123540.154154,2.68095712059e+19,-2.57046072327e+18,5.43385381607e+18
1.3007687188e+31,0.0,21542.2462898,27779.7333304,126395.71368,2.67428101934e+19,-2.67703250183e+18,5.05183143373e+18
4.43729350824e+29,0.0,17757.1949604,28494.6106085,123134.862589,2.65966774348e+19,-2.37395617581e+18,5.64762534599e+18
2.04565845223e+29,0.0,21050.0564569,28010.6745025,125697.489504,2.6809956146e+19,-2.60495075286e+18,5.13309697048e+18
5.26791507277e+29,0.0,19499.448261,27270.9016691,124438.207303,2.67772891802e+19,-2.60082357546e+18,5.34623865406e+18
4.30084305097e+29,0.0,22962.6006787,28020.3486641,127328.058485,2.67626362713e+19,-2.59068668867e+18,4.88630946543e+18
7.86732037312e+30,0.0,17901.0023414,28296.290107,121753.388317,2.66043048637e+19,-2.36392009424e+18,5.9317367588e+18
3.31618018875e+29,0.0,18637.8083297,28177.6246004,122508.268426,2.6634365816e+19,-2.43212065954e+18,5.77069788131e+18
2.77465218753e+29,0.0,18568.608302,27533.1514196,123260.367709,2.66085684888e+19,-2.56586647735e+18,5.65767596441e+18
2.54467861618e+29,0.0,16875.4935077,28002.8132195,121746.748057,2.65966077421e+19,-2.4281490317e+18,5.88241573418e+18
3.18718534696e+29,0.0,18128.2309412,27879.0517157,123124.092123,2.67393893687e+19,-2.49594198829e+18,5.58142114505e+18
2.2796064909e+29,0.0,17787.5313555,27267.7106664,123385.545844,2.6726526611e+19,-2.59054407631e+18,5.55235096168e+18
7.48635433069e+29,0.0,17341.0409899,28221.2394479,121182.428558,2.65442284474e+19,-2.28257094478e+18,6.06380320747e+18
2.7036166617e+29,0.0,18411.76144,27790.0786537,123637.474203,2.66643450354e+19,-2.4618073168e+18,5.59005388926e+18
2.08843944358e+29,0.0,18326.1402787,29561.389007,122052.540724,2.64942827215e+19,-2.11285711179e+18,5.94295372452e+18
2.70797041173e+29,0.0,18930.5324671,28172.5370733,122884.231463,2.66527723167e+19,-2.39785541123e+18,5.59380653825e+18
4.04087593132e+29,0.0,20404.7080035,27924.3301475,124381.158289,2.67372627575e+19,-2.53519384259e+18,5.42686344769e+18
4.75078782428e+29,0.0,17936.0040708,27644.9703138,123527.764841,2.66878551106e+19,-2.45974064181e+18,5.56306895725e+18
5.99770514148e+29,0.0,20728.8204276,27565.9173339,124689.431085,2.6724172455e+19,-2.60344463167e+18,5.41388140112e+18
3.19774171808e+29,0.0,23205.1667706,28397.9684063,126427.978489,2.66455769338e+19,-2.58924250353e+18,5.145749275e+18
2.60565662597e+29,0.0,22820.9669216,27783.9692925,128168.195823,2.68217853788e+19,-2.6375272007e+18,4.6232503032e+18
9.33699718189e+29,0.0,18801.5298372,27262.8782981,123503.583271,2.66806160905e+19,-2.67276513131e+18,5.60225405446e+18
2.01790593662e+29,0.0,18801.5819826,28554.9677622,122322.4772,2.6609757328e+19,-2.38302992993e+18,5.84039788032e+18
3.82279242699e+29,0.0,16779.3523819,27489.6480189,121407.936254,2.66425972525e+19,-2.50930201453e+18,5.92206146488e+18
2.02205772051e+29,0.0,20458.3237696,27901.4993965,124320.07614,2.67331720343e+19,-2.51974168825e+18,5.44905806941e+18
2.59795477943e+29,0.0,17329.3988666,27635.5010766,121937.903809,2.66144492019e+19,-2.54494950539e+18,5.87366738637e+18
3.90193816078e+29,0.0,15666.7339518,28951.2639319,119698.306647,2.64481656753e+19,-2.06843211783e+18,6.34570075312e+18
2.18228421803e+29,0.0,17320.647891,28257.2951607,120918.873698,2.64905008729e+19,-2.33629211513e+18,6.15879949875e+18
3.43552474253e+29,0.0,16912.2415692,27949.9247494,122909.566984,2.66420584528e+19,-2.3479014953e+18,5.64763526303e+18
2.97495975611e+29,0.0,15999.8519423,27960.2909537,120862.723478,2.66042819196e+19,-2.37463931033e+18,6.03386373624e+18
4.33056559553e+29,0.0,18061.8556095,27898.5847833,121788.331067,2.65886199874e+19,-2.51773019952e+18,5.93606284963e+18
2.3337362453e+29,0.0,16980.3257065,27293.665151,120758.209793,2.65487853651e+19,-2.57494042285e+18,6.14713047573e+18
2.57852934403e+29,0.0,20490.9608,28184.1933976,125781.918174,2.67233246495e+19,-2.44804486419e+18,5.20010689108e+18
2.20013265797e+29,0.0,16685.9894665,27758.2556885,120919.379164,2.65863463776e+19,-2.46295919415e+18,6.0512648281e+18
6.07888706387e+29,0.0,18430.6519067,28000.1173826,122008.793749,2.66092256224e+19,-2.50108061e+18,5.88586359877e+18
2.08448309089e+29,0.0,18456.151255,27788.4948387,123383.921561,2.66916666899e+19,-2.58901277846e+18,5.58845279699e+18
2.7751570265e+29,0.0,19618.6574373,27768.1438395,123575.686768,2.66659482048e+19,-2.54618542468e+18,5.61773015518e+18
