#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,kpc,kpc,kpc,kms,kms,kms
0.264756129103,-0.217680336545,-0.137044249254,-0.302354400225,139.863002075,-31.436564992,-119.856054123
0.216426607124,-0.220478801829,-0.13712007577,-0.302723145309,139.498655196,-30.9153578404,-120.126548164
0.103538318004,-0.184809140704,-0.135006717143,-0.313480198259,142.54759107,-30.7706985985,-114.919053852
0.295091382216,-0.228630649134,-0.137007671708,-0.300517122071,139.027848744,-30.6944472771,-120.646103569
0.124297731632,-0.211893516426,-0.135076366472,-0.296077351622,140.299847616,-31.5330943167,-122.560887344
0.192719477831,-0.231700758167,-0.134489953922,-0.298407015057,138.891171712,-31.5354243085,-121.513435074
2.75267254493,-0.22760953064,-0.131826879309,-0.292526242588,139.063480695,-32.315878852,-124.057966035
0.214038979912,-0.20859016055,-0.131496355581,-0.308777047981,140.95064553,-31.6838330094,-116.557666604
0.175946734275,-0.206275173954,-0.13543201431,-0.311595640539,141.053089747,-30.5252021859,-115.143433464
0.1914899753,-0.217048765069,-0.135056617322,-0.308741691411,140.326509196,-30.7237594166,-116.39109688
0.115107240435,-0.234276718518,-0.128496951186,-0.29306459733,138.514342893,-32.7774385286,-123.773712843
0.161896864223,-0.222633427376,-0.134265357566,-0.295813996154,139.355935594,-31.7406069482,-122.777811086
0.120737040129,-0.218932843288,-0.138640111818,-0.302494700016,139.711735962,-30.6297142856,-119.892326709
0.102883336539,-0.213480615314,-0.127013143837,-0.298675013943,140.253975183,-32.7950546812,-121.785930886
0.213294708401,-0.238607437261,-0.131742233041,-0.293643079988,138.183652509,-32.3300136865,-123.355573763
0.8219454728,-0.217145099723,-0.126640290539,-0.295647746597,139.75842947,-32.6178352467,-123.268618672
0.166523143774,-0.199762401133,-0.140529978109,-0.32143099166,141.587573915,-29.2120751132,-110.479665495
