#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.75915543185e+29,0.0,-135882.923565,75274.8448571,123572.902714,7.46900069483e+17,5.46650217564e+18,-8.46104803508e+18
2.89222229409e+29,0.0,-136007.125669,75083.1796243,124027.642211,8.10423773556e+17,5.52718711377e+18,-8.43403927793e+18
1.14027563869e+30,0.0,-135069.080823,75684.7367385,124223.255948,6.3097092225e+17,5.38158608893e+18,-8.48999546991e+18
1.99403379954e+29,0.0,-135723.691951,75153.8982158,123523.93929,6.54033001387e+17,5.54091934882e+18,-8.55569947528e+18
3.77325029912e+29,0.0,-135152.784845,75919.4229137,123755.146833,7.33486197441e+17,5.5154046997e+18,-8.69165502792e+18
2.3896440064e+29,0.0,-134725.767523,75847.7045369,124141.164063,5.80895506794e+17,5.47467773571e+18,-8.63195990871e+18
1.71387799868e+30,0.0,-134480.013283,75310.808576,123816.815054,6.03631407945e+17,5.62212513013e+18,-8.64785868247e+18
1.9897419484e+29,0.0,-135135.060119,75050.4893458,123799.698207,6.88750233674e+17,5.68384330581e+18,-8.6188028647e+18
2.92028016257e+29,0.0,-135562.509294,75925.2877215,124625.71369,6.41556335873e+17,5.32665255571e+18,-8.42753817902e+18
3.45155992469e+29,0.0,-134557.45713,75605.5590777,124752.607761,4.54961746873e+17,5.42037800419e+18,-8.49735163745e+18
2.21711393621e+29,0.0,-134595.386573,76039.2921482,124405.007081,4.91087685831e+17,5.37141639565e+18,-8.5708218193e+18
1.10472145769e+30,0.0,-135143.115718,75295.0579328,124256.386025,6.50544798904e+17,5.48379221861e+18,-8.49437324428e+18
