#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
5.59496775708e+29 0.0 55552.7219357 129758.068649 149641.177605 2.44761465239e+18 -8.22550087285e+18 -5.64491458833e+18
2.25252414421e+30 0.0 60788.7571391 108237.258214 119887.235712 5.54985414686e+17 -1.21516658674e+19 -1.01044980392e+19
3.41454416063e+29 0.0 52372.8634269 124226.147237 146901.311681 2.53289973623e+18 -9.26327327383e+18 -6.24628764787e+18
3.68186581685e+29 0.0 62745.3143666 108926.682431 114258.183987 2.84620169174e+17 -1.21344015191e+19 -1.06326622545e+19
2.25649460608e+29 0.0 64387.3596725 107508.055732 107119.379813 -1.01774560168e+17 -1.2494048445e+19 -1.12665695785e+19
4.01190323287e+29 0.0 64104.4058896 108149.494355 112667.061563 -2.51463482347e+16 -1.22388143058e+19 -1.07903226751e+19
3.35946307314e+29 0.0 55391.613126 114730.735594 129634.640583 1.74537616574e+18 -1.11395954489e+19 -8.84501717825e+18
1.1434063622e+30 0.0 63024.6946046 108443.771127 117836.468608 2.61331080092e+17 -1.20696659989e+19 -1.0270593925e+19
2.27177196786e+29 0.0 52809.3803002 135466.941312 155397.273789 2.84234168932e+18 -7.28067572778e+18 -4.53965062224e+18
2.75915543185e+29 0.0 62361.688134 107048.970829 114583.517295 3.50507071177e+17 -1.23408420614e+19 -1.05814852616e+19
2.89222229409e+29 0.0 58795.171001 119462.610179 137312.085062 1.62957626817e+18 -1.00097593673e+19 -7.69925466936e+18
1.14027563869e+30 0.0 60539.658529 110160.226247 115040.857139 8.44087145836e+17 -1.19941880453e+19 -1.04254181978e+19
1.99403379954e+29 0.0 60638.98657 114320.66315 120378.661505 9.10853681702e+17 -1.13080169446e+19 -9.81639265017e+18
3.77325029912e+29 0.0 59969.4567905 123934.936627 141141.695596 1.71247276699e+18 -9.17837046108e+18 -7.03940421059e+18
2.3896440064e+29 0.0 58306.6483968 110042.136339 120056.011641 1.23692535403e+18 -1.19023366029e+19 -9.9452574246e+18
1.71387799868e+30 0.0 55726.5361199 128361.205374 150225.217916 2.35550699404e+18 -8.41302229157e+18 -5.60408885058e+18
1.9897419484e+29 0.0 58428.2189582 110973.651334 121345.513589 1.31033361038e+18 -1.16771767995e+19 -9.75699801882e+18
2.92028016257e+29 0.0 63543.8481722 109025.943964 113601.263283 1.17810996929e+17 -1.21357334811e+19 -1.06728858641e+19
3.45155992469e+29 0.0 66188.5593954 101700.544369 108186.418106 -8.15201284494e+17 -1.30747235694e+19 -1.14128421446e+19
2.21711393621e+29 0.0 64082.7039367 107128.795207 117369.856831 2.28145975953e+17 -1.20223208792e+19 -1.0261629358e+19
1.10472145769e+30 0.0 63835.4652405 107173.436084 118833.350122 2.89648706305e+17 -1.19699322337e+19 -1.01027007625e+19
2.95730520134e+29 0.0 63088.7098033 110407.767601 112905.539547 4.71522107865e+17 -1.18686937414e+19 -1.05806983951e+19
7.74429168058e+29 0.0 61972.3010774 106717.264846 112728.964249 2.98300486914e+17 -1.25004280933e+19 -1.08145763412e+19
1.2566594172e+30 0.0 63315.2287594 104043.367693 112244.627392 -2.01132753228e+17 -1.28623291068e+19 -1.10079830975e+19
7.5862811061e+29 0.0 62594.0876561 103931.503345 116187.479692 -4.15583177862e+16 -1.27445838595e+19 -1.06265062494e+19
3.36125179476e+29 0.0 56087.5376959 113330.485479 135863.171348 1.62809418874e+18 -1.1096465321e+19 -8.11989308344e+18
3.38033802991e+29 0.0 50152.5309229 136712.580443 155821.814657 3.06782749813e+18 -7.12873594105e+18 -4.4488310316e+18
2.26284368842e+29 0.0 60394.4608385 112428.427213 124216.451607 9.17423887634e+17 -1.14158405852e+19 -9.49380733525e+18
2.89249197027e+29 0.0 63963.3128524 112601.606224 123453.658919 4.20634279186e+17 -1.12469402898e+19 -9.50841871759e+18
2.9545090103e+29 0.0 52897.6097601 125745.400816 144731.401752 2.54917262672e+18 -9.06984036926e+18 -6.51738715871e+18
3.45821323023e+29 0.0 61747.4702748 110653.03093 127799.494841 6.08623424179e+17 -1.14420602905e+19 -9.16616605985e+18
3.11287526367e+29 0.0 61492.4846652 103687.208353 119584.520248 1.77392329762e+17 -1.2693804726e+19 -1.030648299e+19
1.32034222542e+30 0.0 62568.7794123 109201.6851 120820.609096 3.99631834373e+17 -1.18773721177e+19 -9.94532110578e+18
2.3749562976e+29 0.0 63390.9358813 107797.636285 108467.006551 -2.33417587614e+16 -1.25318967349e+19 -1.11995950819e+19
2.04737936743e+29 0.0 30420.8517292 152333.802419 164231.890269 4.32888209484e+18 -4.59189636584e+18 -4.28613137393e+17
2.32812116629e+29 0.0 51234.9925835 134420.362834 154183.954691 2.95135521697e+18 -7.50932609325e+18 -4.78038834907e+18
1.68489157947e+30 0.0 63107.6373417 111540.401334 116214.907818 3.6821595654e+17 -1.17332618247e+19 -1.03100430244e+19
2.34209876758e+29 0.0 62698.0153459 104285.209212 115943.634535 -4.80234057777e+16 -1.26918200012e+19 -1.06507631036e+19
2.80220427678e+29 0.0 60728.3525956 106355.348 123575.729719 5.01041714553e+17 -1.22633323621e+19 -9.78656546169e+18
4.29564461522e+29 0.0 63779.6071393 104769.315428 115969.276645 -1.35291224836e+17 -1.25711809641e+19 -1.06037105561e+19
4.29990615273e+30 0.0 63838.402646 104352.475292 117678.986115 -2.02426774556e+17 -1.25372211259e+19 -1.04628287855e+19
4.97529536875e+29 0.0 60703.4197429 106951.54803 115242.025617 3.77948565431e+17 -1.25262926458e+19 -1.06393451188e+19
2.31830041453e+29 0.0 61993.1173498 106095.513743 111427.038854 4.92158859271e+16 -1.26973771793e+19 -1.10383977438e+19
4.75140961302e+29 0.0 60364.0189683 109407.494063 127917.244305 7.66419682927e+17 -1.17241060586e+19 -9.18599784599e+18
2.820740872e+29 0.0 60895.5938952 110626.202575 120231.525204 9.36824654454e+17 -1.16146659911e+19 -9.8521810582e+18
1.99364079992e+29 0.0 64646.0854939 105250.656799 108951.887283 -3.03764365915e+17 -1.26897756395e+19 -1.12225636264e+19
2.18394676655e+29 0.0 61050.1903673 108792.153241 111732.050354 4.57587676823e+17 -1.23637507416e+19 -1.08900343747e+19
2.81594367939e+29 0.0 63280.840892 108331.813357 108474.842285 1.31139702149e+17 -1.23821606367e+19 -1.11443544483e+19
1.06464363306e+30 0.0 61054.6748018 110801.84023 127972.438323 7.66432258222e+17 -1.14757689298e+19 -9.12380990678e+18
2.26082071542e+29 0.0 62710.3527021 105827.564282 117414.085641 7.4717953696e+16 -1.2447675808e+19 -1.0438621442e+19
3.2059278054e+29 0.0 47450.5013514 141447.671514 159904.817125 3.34437307036e+18 -6.34331562842e+18 -3.50294188135e+18
2.85789772323e+29 0.0 61420.7796595 106062.573594 113161.973253 2.71754211769e+17 -1.26383001628e+19 -1.08439924586e+19
9.60920610449e+29 0.0 62405.5635312 109538.724276 117950.857266 3.66718253919e+17 -1.19517532839e+19 -1.01956292559e+19
6.47919190253e+29 0.0 62736.9869157 105303.761893 116134.310267 8.3483017421e+16 -1.25740649231e+19 -1.05680674408e+19
5.92079996371e+29 0.0 61728.6667965 102619.169953 119597.735379 1.04398212912e+17 -1.28089778511e+19 -1.03381974589e+19
2.99491950941e+29 0.0 57467.6025996 107724.498184 122554.915231 1.10904536524e+18 -1.22612126432e+19 -9.86760824602e+18
4.91033902216e+29 0.0 61151.9304174 105252.640804 117230.3273 2.97449227908e+17 -1.25965691459e+19 -1.04868034268e+19
2.27439495339e+29 0.0 58329.8145396 120381.962462 132004.568967 1.67610803158e+18 -1.00631624361e+19 -8.33376912312e+18
2.97288419115e+29 0.0 59974.7880482 111132.000638 122958.732368 8.71205026857e+17 -1.16828781735e+19 -9.68441128093e+18
